Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
         307000	       303	800002b6	8cef7037	lui	x0,0x8cef7	  x0=0x00000000
         308000	       304	800002ba	00211fb3	sll	x31,x2,x2	  x2:0x0fbc0000  x2:0x0fbc0000 x31=0x0fbc0000
         309000	       305	800002be	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
         310000	       306	800002c0	0c26	c.slli	x24,0x9	 x24:0x8d81e000 x24=0x03c00000
         312000	       308	800002c2	0399d463	bge	x19,x25,800002ea	 x19:0x00000000 x25:0x00000000
         315000	       311	800002ea	017e9213	slli	x4,x29,0x17	 x29:0x00000000  x4=0x00000000
         316000	       312	800002ee	01f35d93	srli	x27,x6,0x1f	  x6:0x00000000 x27=0x00000000
         317000	       313	800002f2	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
         318000	       314	800002f4	8ac1	c.andi	x13,16	 x13:0xffffffff x13=0x00000010
         319000	       315	800002f6	643d	c.lui	x8,0xf	  x8=0x0000f000
         320000	       316	800002f8	8dc9	c.or	x11,x10	 x11:0x8000d084 x10:0x8000fc84 x11=0x8000fc84
         322000	       318	800002fa	00cfed63	bltu	x31,x12,80000314	 x31:0x0fbc0000 x12:0xfcdbd3be
         324000	       320	80000314	00c80233	add	x4,x16,x12	 x16:0xfffffffc x12:0xfcdbd3be  x4=0xfcdbd3ba
         325000	       321	80000318	00000e97	auipc	x29,0x0	 x29=0x80000318
         326000	       322	8000031c	00ce8e93	addi	x29,x29,12	 x29:0x80000318 x29=0x80000324
         328000	       324	80000320	000e8067	jalr	x0,0(x29)	 x29:0x80000324  x0=0x00000000
         329000	       325	80000324	4185	c.li	x3,1	  x3=0x00000001
         330000	       326	80000326	00000073	ecall	
         334000	       330	80000000	6fc0106f	jal	x0,800016fc	  x0=0x00000000
         335000	       331	800016fc	34091973	csrrw	x18,mscratch,x18	 x18:0x8000ae64 x18=0x00000000
         336000	       332	80001700	00050933	add	x18,x10,x0	 x10:0x8000fc84  x0:0x00000000 x18=0x8000fc84
         337000	       333	80001704	f8490913	addi	x18,x18,-124	 x18:0x8000fc84 x18=0x8000fc08
         339000	       335	80001708	00192223	sw	x1,4(x18)	 x18:0x8000fc08  x1:0xf2fd1ee7 PA:0x8000fc0c store:0xf2fd1ee7 load:0x00000000
         341000	       337	8000170c	00292423	sw	x2,8(x18)	 x18:0x8000fc08  x2:0x0fbc0000 PA:0x8000fc10 store:0x0fbc0000 load:0x00000000
         343000	       339	80001710	00392623	sw	x3,12(x18)	 x18:0x8000fc08  x3:0x00000001 PA:0x8000fc14 store:0x00000001 load:0x00000000
         345000	       341	80001714	00492823	sw	x4,16(x18)	 x18:0x8000fc08  x4:0xfcdbd3ba PA:0x8000fc18 store:0xfcdbd3ba load:0x00000000
         347000	       343	80001718	00592a23	sw	x5,20(x18)	 x18:0x8000fc08  x5:0x97713dfc PA:0x8000fc1c store:0x97713dfc load:0x00000000
         349000	       345	8000171c	00692c23	sw	x6,24(x18)	 x18:0x8000fc08  x6:0x00000000 PA:0x8000fc20 store:0x00000000 load:0x00000000
         351000	       347	80001720	00792e23	sw	x7,28(x18)	 x18:0x8000fc08  x7:0x03242825 PA:0x8000fc24 store:0x03242825 load:0x00000000
         353000	       349	80001724	02892023	sw	x8,32(x18)	 x18:0x8000fc08  x8:0x0000f000 PA:0x8000fc28 store:0x0000f000 load:0x00000000
         355000	       351	80001728	02992223	sw	x9,36(x18)	 x18:0x8000fc08  x9:0x00000000 PA:0x8000fc2c store:0x00000000 load:0x00000000
         357000	       353	8000172c	02a92423	sw	x10,40(x18)	 x18:0x8000fc08 x10:0x8000fc84 PA:0x8000fc30 store:0x8000fc84 load:0x00000000
         359000	       355	80001730	02b92623	sw	x11,44(x18)	 x18:0x8000fc08 x11:0x8000fc84 PA:0x8000fc34 store:0x8000fc84 load:0x00000000
         361000	       357	80001734	02c92823	sw	x12,48(x18)	 x18:0x8000fc08 x12:0xfcdbd3be PA:0x8000fc38 store:0xfcdbd3be load:0x00000000
         363000	       359	80001738	02d92a23	sw	x13,52(x18)	 x18:0x8000fc08 x13:0x00000010 PA:0x8000fc3c store:0x00000010 load:0x00000000
         365000	       361	8000173c	02e92c23	sw	x14,56(x18)	 x18:0x8000fc08 x14:0x601ae1f8 PA:0x8000fc40 store:0x601ae1f8 load:0x00000000
         367000	       363	80001740	02f92e23	sw	x15,60(x18)	 x18:0x8000fc08 x15:0x00000001 PA:0x8000fc44 store:0x00000001 load:0x00000000
         369000	       365	80001744	05092023	sw	x16,64(x18)	 x18:0x8000fc08 x16:0xfffffffc PA:0x8000fc48 store:0xfffffffc load:0x00000000
         371000	       367	80001748	05192223	sw	x17,68(x18)	 x18:0x8000fc08 x17:0x00000001 PA:0x8000fc4c store:0x00000001 load:0x00000000
         373000	       369	8000174c	05292423	sw	x18,72(x18)	 x18:0x8000fc08 x18:0x8000fc08 PA:0x8000fc50 store:0x8000fc08 load:0x00000000
         375000	       371	80001750	05392623	sw	x19,76(x18)	 x18:0x8000fc08 x19:0x00000000 PA:0x8000fc54 store:0x00000000 load:0x00000000
         377000	       373	80001754	05492823	sw	x20,80(x18)	 x18:0x8000fc08 x20:0x80000000 PA:0x8000fc58 store:0x80000000 load:0x00000000
         379000	       375	80001758	05592a23	sw	x21,84(x18)	 x18:0x8000fc08 x21:0xe1b99538 PA:0x8000fc5c store:0xe1b99538 load:0x00000000
         381000	       377	8000175c	05692c23	sw	x22,88(x18)	 x18:0x8000fc08 x22:0x00000001 PA:0x8000fc60 store:0x00000001 load:0x00000000
         383000	       379	80001760	05792e23	sw	x23,92(x18)	 x18:0x8000fc08 x23:0x00000000 PA:0x8000fc64 store:0x00000000 load:0x00000000
         385000	       381	80001764	07892023	sw	x24,96(x18)	 x18:0x8000fc08 x24:0x03c00000 PA:0x8000fc68 store:0x03c00000 load:0x00000000
         387000	       383	80001768	07992223	sw	x25,100(x18)	 x18:0x8000fc08 x25:0x00000000 PA:0x8000fc6c store:0x00000000 load:0x00000000
         389000	       385	8000176c	07a92423	sw	x26,104(x18)	 x18:0x8000fc08 x26:0x00000000 PA:0x8000fc70 store:0x00000000 load:0x00000000
         391000	       387	80001770	07b92623	sw	x27,108(x18)	 x18:0x8000fc08 x27:0x00000000 PA:0x8000fc74 store:0x00000000 load:0x00000000
         393000	       389	80001774	07c92823	sw	x28,112(x18)	 x18:0x8000fc08 x28:0xf142b8eb PA:0x8000fc78 store:0xf142b8eb load:0x00000000
         395000	       391	80001778	07d92a23	sw	x29,116(x18)	 x18:0x8000fc08 x29:0x80000324 PA:0x8000fc7c store:0x80000324 load:0x00000000
         397000	       393	8000177c	07e92c23	sw	x30,120(x18)	 x18:0x8000fc08 x30:0xffffffff PA:0x8000fc80 store:0xffffffff load:0x00000000
         399000	       395	80001780	07f92e23	sw	x31,124(x18)	 x18:0x8000fc08 x31:0x0fbc0000 PA:0x8000fc84 store:0x0fbc0000 load:0x00000000
         400000	       396	80001784	34102173	csrrs	x2,mepc,x0	  x0:0x00000000  x2=0x80000326
         401000	       397	80001788	34202173	csrrs	x2,mcause,x0	  x0:0x00000000  x2=0x0000000b
         402000	       398	8000178c	4fad	c.li	x31,11	 x31=0x0000000b
         404000	       400	8000178e	01f10d63	beq	x2,x31,800017a8	  x2:0x0000000b x31:0x0000000b
         406000	       402	800017a8	fffff117	auipc	x2,0xfffff	  x2=0x800007a8
         407000	       403	800017ac	8d810113	addi	x2,x2,-1832	  x2:0x800007a8  x2=0x80000080
         409000	       405	800017b0	c002	c.swsp	x0,0(x2)	  x2:0x80000080  x0:0x00000000 PA:0x80000080 store:0x00000000 load:0x00000000
         411000	       407	800017b2	c206	c.swsp	x1,4(x2)	  x2:0x80000080  x1:0xf2fd1ee7 PA:0x80000084 store:0xf2fd1ee7 load:0x00000000
         413000	       409	800017b4	c40a	c.swsp	x2,8(x2)	  x2:0x80000080  x2:0x80000080 PA:0x80000088 store:0x80000080 load:0x00000000
         415000	       411	800017b6	c60e	c.swsp	x3,12(x2)	  x2:0x80000080  x3:0x00000001 PA:0x8000008c store:0x00000001 load:0x00000000
         417000	       413	800017b8	c812	c.swsp	x4,16(x2)	  x2:0x80000080  x4:0xfcdbd3ba PA:0x80000090 store:0xfcdbd3ba load:0x00000000
         419000	       415	800017ba	ca16	c.swsp	x5,20(x2)	  x2:0x80000080  x5:0x97713dfc PA:0x80000094 store:0x97713dfc load:0x00000000
         421000	       417	800017bc	cc1a	c.swsp	x6,24(x2)	  x2:0x80000080  x6:0x00000000 PA:0x80000098 store:0x00000000 load:0x00000000
         423000	       419	800017be	ce1e	c.swsp	x7,28(x2)	  x2:0x80000080  x7:0x03242825 PA:0x8000009c store:0x03242825 load:0x00000000
         425000	       421	800017c0	d022	c.swsp	x8,32(x2)	  x2:0x80000080  x8:0x0000f000 PA:0x800000a0 store:0x0000f000 load:0x00000000
         427000	       423	800017c2	d226	c.swsp	x9,36(x2)	  x2:0x80000080  x9:0x00000000 PA:0x800000a4 store:0x00000000 load:0x00000000
         429000	       425	800017c4	d42a	c.swsp	x10,40(x2)	  x2:0x80000080 x10:0x8000fc84 PA:0x800000a8 store:0x8000fc84 load:0x00000000
         431000	       427	800017c6	d62e	c.swsp	x11,44(x2)	  x2:0x80000080 x11:0x8000fc84 PA:0x800000ac store:0x8000fc84 load:0x00000000
         433000	       429	800017c8	d832	c.swsp	x12,48(x2)	  x2:0x80000080 x12:0xfcdbd3be PA:0x800000b0 store:0xfcdbd3be load:0x00000000
         435000	       431	800017ca	da36	c.swsp	x13,52(x2)	  x2:0x80000080 x13:0x00000010 PA:0x800000b4 store:0x00000010 load:0x00000000
         437000	       433	800017cc	dc3a	c.swsp	x14,56(x2)	  x2:0x80000080 x14:0x601ae1f8 PA:0x800000b8 store:0x601ae1f8 load:0x00000000
         439000	       435	800017ce	de3e	c.swsp	x15,60(x2)	  x2:0x80000080 x15:0x00000001 PA:0x800000bc store:0x00000001 load:0x00000000
         441000	       437	800017d0	c0c2	c.swsp	x16,64(x2)	  x2:0x80000080 x16:0xfffffffc PA:0x800000c0 store:0xfffffffc load:0x00000000
         443000	       439	800017d2	c2c6	c.swsp	x17,68(x2)	  x2:0x80000080 x17:0x00000001 PA:0x800000c4 store:0x00000001 load:0x00000000
         445000	       441	800017d4	c4ca	c.swsp	x18,72(x2)	  x2:0x80000080 x18:0x8000fc08 PA:0x800000c8 store:0x8000fc08 load:0x00000000
         447000	       443	800017d6	c6ce	c.swsp	x19,76(x2)	  x2:0x80000080 x19:0x00000000 PA:0x800000cc store:0x00000000 load:0x00000000
         449000	       445	800017d8	c8d2	c.swsp	x20,80(x2)	  x2:0x80000080 x20:0x80000000 PA:0x800000d0 store:0x80000000 load:0x00000000
         451000	       447	800017da	cad6	c.swsp	x21,84(x2)	  x2:0x80000080 x21:0xe1b99538 PA:0x800000d4 store:0xe1b99538 load:0x00000000
         453000	       449	800017dc	ccda	c.swsp	x22,88(x2)	  x2:0x80000080 x22:0x00000001 PA:0x800000d8 store:0x00000001 load:0x00000000
         455000	       451	800017de	cede	c.swsp	x23,92(x2)	  x2:0x80000080 x23:0x00000000 PA:0x800000dc store:0x00000000 load:0x00000000
